filename,width,height,mode,mean_intensity,std_intensity,min_intensity,max_intensity,entropy,sharpness,has_nan
J135740.55+212457.8.jpg,800,800,RGB,42.3282875,32.28588535168803,0,255,6.492355440706442,12357.090685984998,False
J095140.01+322614.6.jpg,800,800,RGB,41.1028828125,30.021053359507427,0,255,6.403091675389493,13688.918938435,False
J214703.62+271346.8.jpg,800,800,RGB,47.583255729166666,41.175927872871235,0,255,6.707470628035094,13252.592149215001,False
J082110.29+391546.9.jpg,800,800,RGB,60.8320328125,43.65836520219338,0,255,6.902471382647124,13515.87803631,False
J083639.14+044804.2.jpg,800,800,RGB,42.245269791666665,34.40292446114568,0,255,6.416970931705415,13670.071129750002,False
J001535.93+073614.5.jpg,800,800,RGB,40.25953020833333,28.265646834027386,0,255,6.389356772750203,13895.166597865,False
J140242.23+172319.3.jpg,800,800,RGB,39.34115104166667,31.21079676517038,0,255,6.532341847453203,13804.508017250002,False
J161754.17+381006.7.jpg,800,800,RGB,43.192149479166666,35.87065445421214,0,255,6.526315864451186,14748.552097389998,False
J092903.71+430026.3.jpg,800,800,RGB,42.803946875,29.08325104415216,0,255,6.406384487938645,14710.579049589998,False
J162500.56+263729.6.jpg,800,800,RGB,40.2310890625,34.3341332142572,0,255,6.512186964740043,13735.388126635004,False
J092625.50+085129.5.jpg,800,800,RGB,40.74113072916666,34.39133343367848,0,255,6.557048968815191,13932.752816265,False
J003032.93+145635.4.jpg,800,800,RGB,50.21964895833333,31.222522489144005,0,255,6.571588662718168,13411.180988715001,False
J021936.40-053120.3.jpg,800,800,RGB,49.68079739583333,33.449042163814795,0,255,6.4510088913707175,14908.966950385004,False
J144949.98+160214.0.jpg,800,800,RGB,40.265999479166666,28.046464256620943,0,255,6.4597494126365325,12959.113210534999,False
J214539.08-070353.8.jpg,800,800,RGB,39.8966515625,29.671724700539958,0,255,6.419098821957485,13443.218804125,False
J084904.70+571643.4.jpg,800,800,RGB,44.50074479166667,34.67674970752908,0,255,6.442828179767393,14511.16354204,False
J171855.97+572218.7.jpg,800,800,RGB,47.32051875,34.69706097996724,0,255,6.528929332189075,14130.24421609,False
J133253.03+072336.4.jpg,800,800,RGB,45.695565625,36.93593321441401,0,255,6.565384882547905,12909.056632910002,False
J170209.64+351011.6.jpg,800,800,RGB,42.120990625,28.694683283992912,0,255,6.416369961089437,14484.902439125002,False
J160709.28+360510.7.jpg,800,800,RGB,44.01306770833333,31.795972279415082,0,255,6.484330083832964,13874.49387029,False
J094635.39+034117.3.jpg,800,800,RGB,42.917363020833335,33.66071550822275,0,255,6.542911418022533,14063.638042014998,False
J131544.40-012607.6.jpg,800,800,RGB,41.5420625,31.903201062554217,0,255,6.507188421135637,13960.168874,False
J170255.70+634825.4.jpg,800,800,RGB,41.44138854166667,31.815534058149726,0,255,6.3358427885253175,14717.355690375,False
J114912.70+192443.8.jpg,800,800,RGB,39.7658828125,31.384775038968876,0,255,6.529939566267855,13825.38387225,False
J093546.29+082430.0.jpg,800,800,RGB,40.128602083333334,29.55121669879537,0,255,6.550494133865921,13815.508009135003,False
J151312.53+160417.2.jpg,800,800,RGB,37.764553125,29.43097344809353,0,255,6.44957466666473,12927.811270565,False
J164753.59+290848.9.jpg,800,800,RGB,45.149503645833335,35.70654320017153,0,255,6.7252848414449105,13626.683724,False
J094727.84+333615.1.jpg,800,800,RGB,46.0859453125,36.18371661810175,0,255,6.527682086381387,14794.210499985003,False
J005010.12-004611.9.jpg,800,800,RGB,44.4573375,30.303271786273516,0,255,6.468870714215306,14748.463441499996,False
J130602.44+163051.7.jpg,800,800,RGB,42.86808020833333,32.97389403442618,0,255,6.60177304764678,14100.753972749999,False
J125922.69+163650.1.jpg,800,800,RGB,45.86599947916667,35.128106989008806,0,255,6.7045462276631005,13870.69335901,False
J125809.69+273257.9.jpg,800,800,RGB,42.3506859375,32.4403958581849,0,255,6.593926593750812,12961.144092085,False
J125109.60+663842.2.jpg,800,800,RGB,40.012933333333336,28.937323549133257,0,255,6.376255845180749,14620.833335909998,False
J155949.80+052738.0.jpg,800,800,RGB,38.46141458333334,28.822135386694615,0,255,6.49785958943429,13018.138994134999,False
J121426.95+113755.0.jpg,800,800,RGB,43.40374166666667,34.50344670222475,0,255,6.669934299895356,13173.637142715,False
J141040.97+212811.1.jpg,800,800,RGB,37.30646614583333,29.343407317157713,0,255,6.464009289629736,13380.936609085,False
J111924.86+395504.8.jpg,800,800,RGB,43.8159359375,34.01251623336713,0,255,6.38675049977052,14492.423054339999,False
J144048.52+011507.6.jpg,800,800,RGB,39.100141666666666,28.60646204277856,0,255,6.464021599162366,13676.812141890001,False
J112343.51+214855.9.jpg,800,800,RGB,42.88670416666667,34.42405444555908,0,255,6.6375734966853726,14264.153008740002,False
J140724.97+103954.3.jpg,800,800,RGB,41.75595,33.382822382514334,0,255,6.371115329640324,13925.26079806,False
J122019.76+295935.2.jpg,800,800,RGB,55.194130208333334,40.628468786827455,0,255,6.954570575066513,14084.131147985,False
